#,lsc,ec,st_nr,street_name ,abbr,dir,muncipality,community,list_price,sold_price,type,style,br,addi,wr,fam,kit,garage_type,a/c,heat,contract,sold,list_brokerage,co_op brokerage,mls,,
87,Sld,,28,Lesbury,Ave,,Brampton,Brampton E  ,"$799,900","$877,000",Detached  ,Bungalow   ,3,4,3,N,1,None,Cen,Gas,10-01-2021,01-17-2021 ,RE/MAX CHAM,FORTUNE HOMES,W5080324,,
88,Sld,,37,Harper,Rd,,Brampton,Brampton E,"$799,000","$905,000",Detached,Bungalow,3,1,3,Y,1,Carpor,Cen,Gas,02-08-2021,02-13-2021,RE/MAX CHAM  ,RE/MAX REALE  ,W5108929,,
89,Sld,N,127,Adventura     ,Rd,,Brampton,Brampton N,"$799,000","$820,000",Att/Row/Tw,2-Storey,3,0,3,N,1,Attach,Cen,Gas,02-10-2021  ,03-07-2021 ,CENTURY 21     ,CENTURY 21 LE   ,W5112222,,
90,Sld,,42,Ardglen        ,Dr,,Brampton,Brampton E,"$799,000","$850,000",Semi-Detac,Backsplit ,3,1,3,N,1,None,Cen,Gas,02-17-2021 ,02-22-2021 ,ROYAL CANAD  ,RE/MAX REALTY,W5117642,,
91,Sld,,62,Pressed Br,Dr,,Brampton,Brampton N,"$799,000","$850,000",Semi-Detac,2-Storey,3,0,4,N,1,Attach,Cen,Gas,03-03-2021,03-13-2021,RE/MAX GOLD,SEARCH REALTY,W5135268,,
92,Sld,,155,Kingswood,Dr,,Brampton,Brampton N,"$799,900","$875,000",Semi-Detac,2 Storey,4,1,4,N,1,Built-,Cen,Gas,03-06-2021,03-08-2021,ROYAL LEPAG,CENTURY 21 GR,W5140337,,
93,Sld,,9,Radford,Dr,,Brampton,Brampton N,"$799,900","$915,000",Semi-Detac,Bungalow-R,3,2,2,Y,1,Built-,Cen,Gas,03-09-2021,03-26-2021,HOMELIFE/MI,HOMELIFE SILV,W5145651,,
94,Sld,,201,Kingswood,Dr,,Brampton,Brampton N  ,"$799,900","$810,000",Semi-Detac,Backsplit,4,2,3,y,1,Built,Cen,Gas,11-03-2021,03-17-2021  ,RE/MAX REAL,RE/MAX REALTY,W5147627,,
95,Sld,,87,Newlyn,Cres,,Brampton,Brampton N  ,"$799,900","$901,000",Semi-Detac,Backsplit,4,1,3,N,1,Built,Cen,Gas,14-03-2021,03-15-2021  ,KINGSWAY RE,RE/MAX REALTY,W5150832,,
96,Sld,N,81,Cornwall,Rd,,Brampton,Brampton E  ,"$799,900","$910,000",Detached,Bungalow,3,3,2,y,1,Carpor,Cen,Gas,16-03-2021,03-22-2021  ,SAVE MAX Fl,EVEREST REALT,W5154500,,
97,Sld,,22,Cumberland,Dr,,Brampton,Brampton N ,"$799,900","$885,000",Detached,Bungalow-R,3,1,2,N,1,Detach,Cen,Gas,19-03-2021,03-28-2021 ,RIGHT AT HO,RE/MAX GOLD R,W5160210,,
98,Sld,,41,Harper,Rd,,Brampton,Brampton E,"$799,900","$900,000",Detached,Bungalow,3,1,2,N,1,Carpor,Cen,Gas,26-03-2021,03-28-2021  ,RE/MAX REAL,"EXP REALTY, B",W5168383,,
