#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1110,Sld,,7,Buffridge,Tr,,Brampton,Brampton N," $1,039,900 "," $1,110,000 ",Detached,2-Storey,4,0,4,Y,1,Attach,Cen,Gas,4-29-21,5-2-21,ROYAL LEPAG,RE/MAX REALTY,W5213297
1111,Sld,N,30,National,Cres,W,Brampton,Brampton N," $1,049,000 "," $1,035,000 ",Detached,2-Storey,3,1,4,Y,1,Attach,Cen,Gas,4/09/2021,4/30/2021,CITYSCAPE R,ROYAL STAR RE,W5188083
1112,Sld,,2,Baccarat,Cres,,Brampton,Brampton N," $1,049,900 "," $1,150,000 ",Detached,2-Storey,4,1,4,Y,1,Attach,Cen,Gas,3/25/2021,4/03/2021,RE/MAX REAL,CENTURY 21 LE,W5166907
1113,Sld,,13,Durham,Cres,,Brampton,Brampton C," $1,049,999 "," $1,070,000 ",Detached,2-Storey,4,0,4,N,1,Attach,Cen,Gas,5/06/2021,5/08/2021,CENTURY  21,IPRO REALTY L,W5223094
1114,Sld,,9,Lakeland,Crt,,Brampton,Brampton N," $1,089,000 "," $1,105,000 ",Detached,2-Storey,4,2,4,Y,1,Built-,Cen,Gas,3/02/2021,3/10/2021,RE/MAX REAL,HERITAGE CALE,W5133378
1115,Sld,,17,Sweet Bria,Lane,,Brampton,Brampton N," $1,099,000 "," $1,140,000 ",Detached,2-Storey,4,0,3,Y,1,Attach,Cen,Gas,5/13/2021,5/18/2021,ROYAL LEPAG,KING REALTY I,W5232812
1116,Sld,,38,Banington,Cres,,Brampton,Brampton N," $1,099,000 "," $1,190,000 ",Detached,2-Storey,4,0,3,Y,1,Built-,Cen,Gas,5/14/2021,5/19/2021,ROYAL LEPAG,HOMELIFE/MIRA,W5235211
1117,Sld,,3,Oldgate,Lane,,Brampton,Brampton N," $1,099,900 "," $1,267,500 ",Detached,2-Storey,4,0,4,Y,1,Attach,Cen,Gas,1/22/2021,1/28/2021,"EXP REALTY,",RE/MAX REALTY,W5091219
1118,Sld,,14,Collingwoo,Ave,,Brampton,Brampton N," $1,099,900 "," $1,415,000 ",Detached,2-Storey,4,2,5,Y,1,Attach,Cen,Gas,2/02/2021,2/03/2021,HOMELIFE GA,SAVE MAX SUPR,W5101647
1119,Sld,,18,Lismore,Crt,,Brampton,Brampton N," $1,110,000 "," $1,110,000 ",Detached,Sidesplit,4,0,4,N,1,Attach,Cen,Gas,2/07/2021,2/07/2021,KELLER WILL,KELLER WILLIA,W5110113
